antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.020435428005937655,0.021029193468579913,0.01504205838693716,0.7360774818401937,35.002649195271324,1.0,0.01461231781778706,3.709311404564005,0.9916964758084026,0.5692883895131085,0.7304081833707513,0.7256857997436262
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.021029193468579913,0.020435428005937655,0.01504205838693716,0.7152941176470587,35.002649195271324,1.0,0.01461231781778706,3.4406193644419534,0.9922979596451325,0.5692883895131085,0.7093546556370691,0.7256857997436262
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.050816427511133105,0.04784760019792182,0.03132112815437902,0.6163583252190846,12.881697779397829,1.0,0.02888968404733965,2.481879478671914,0.9717514166168225,0.4650991917707568,0.5970795485463649,0.6354800933230893
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.04784760019792182,0.050816427511133105,0.03132112815437902,0.6546018614270941,12.881697779397829,1.0,0.02888968404733965,2.7480853730441144,0.9687214792371514,0.4650991917707568,0.6361102861617876,0.6354800933230893
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.037555665512122714,0.050816427511133105,0.022464126669965365,0.5981554677206851,11.770907500131495,1.0,0.02055568191583622,2.362066660718196,0.9507508645354632,0.34084084084084076,0.5766419226729419,0.52010986628488
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.037555665512122714,0.04784760019792182,0.020336467095497277,0.5415019762845849,11.317223309939461,1.0,0.018539518626906348,2.0766772168097045,0.9472122912638046,0.31254752851711026,0.5184615153932058,0.48326391471933483
"frozenset({'ALARM CLOCK BAKELIKE RED', 'ALARM CLOCK BAKELIKE PINK'})",frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.022464126669965365,0.04784760019792182,0.015141019297377536,0.6740088105726871,14.08657503792555,1.0,0.01406616474567756,2.9207918210144825,0.950359417574143,0.27443946188340806,0.6576270883788394,0.49522570828530943
"frozenset({'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE GREEN'})",frozenset({'ALARM CLOCK BAKELIKE RED'}),0.020336467095497277,0.050816427511133105,0.015141019297377536,0.7445255474452556,14.651276839209945,1.0,0.014107592691386655,3.715375698027852,0.9510883397755283,0.27031802120141346,0.7308482152879432,0.521240378396435
frozenset({'VINTAGE HEADS AND TAILS CARD GAME'}),frozenset({'VINTAGE SNAP CARDS'}),0.029440870856011877,0.04359228104898565,0.016575952498762987,0.5630252100840335,12.915708848806261,1.0,0.015292557782080827,2.1887022799071287,0.9505602246224903,0.2936021034180543,0.5431082568057487,0.47163746315779426
frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.020385947550717466,0.05086590796635329,0.011726867887184562,0.5752427184466019,11.309003248838351,1.0,0.010689918155262861,2.2345328338163566,0.9305449171654809,0.19700748129675813,0.5524791648319166,0.40289373276415696
frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.020385947550717466,0.043295398317664525,0.011380504700643246,0.558252427184466,12.89403606102635,1.0,0.010497886981351916,2.1657269005116606,0.9416410089732383,0.21759697256385996,0.5382612647219063,0.41055478502080445
frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.020385947550717466,0.040920336467095496,0.010390895596239486,0.5097087378640777,12.456122844296264,1.0,0.009556695763263566,1.9561426800770132,0.9388577008740662,0.20408163265306123,0.4887898463722339,0.38181930242659745
frozenset({'WOODEN FRAME ANTIQUE WHITE'}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.04740227610094013,0.054032657100445323,0.026521523998020782,0.5594989561586639,10.354829582386992,1.0,0.02396025306767805,2.1474803661084674,0.9483821801030171,0.35402906208718626,0.5343380010443873,0.5251707235005774
"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'WOODEN FRAME ANTIQUE WHITE'})",frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.016575952498762987,0.054032657100445323,0.010737258782780802,0.6477611940298508,11.988327592805206,1.0,0.009841616025301871,2.6855852531470408,0.9320348955163319,0.1793388429752066,0.627641684869928,0.4232395713738997
"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'WOODEN PICTURE FRAME WHITE FINISH'})",frozenset({'WOODEN FRAME ANTIQUE WHITE'}),0.02003958436417615,0.04740227610094013,0.010737258782780802,0.5358024691358024,11.303306786257377,1.0,0.009787336871802041,2.052138713718719,0.9301705453052049,0.18935427574171027,0.51270350619336,0.38115801953658596
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03567540821375557,0.10895596239485403,0.023701138050470066,0.6643550624133149,6.097464037862441,1.0,0.019814089614711046,2.6547221120384723,0.8669253069367003,0.19599018003273327,0.6233127394143211,0.4409422905163759
frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.03132112815437902,0.041365660564077186,0.01632855022266205,0.5213270142180095,12.602893489648293,1.0,0.015032931066944045,2.0026915408017794,0.9504214128824642,0.2897278314310799,0.5006719808684821,0.4580319281616364
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.0599208312716477,0.10212765957446808,0.04052449282533399,0.676300578034682,6.622109826589595,1.0,0.03440491856780401,2.773784194528875,0.9031055615612696,0.3334690553745928,0.6394816864367312,0.5365514518080386
"frozenset({'LUNCH BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT'})",frozenset({'JUMBO BAG RED RETROSPOT'}),0.015982187036120733,0.10212765957446808,0.012320633349826818,0.7708978328173374,7.548374613003095,1.0,0.010688409992946402,3.9190914318573875,0.8816112238969455,0.11646398503274087,0.7448388185406364,0.44576868385052915
